title	status	place	time	topic	author	rating	pages	year	library	completed	rated	added	isbn13	goodreads	specific_place	specific_time	specific_topic
Gödel, Escher, Bach: An Eternal Golden Braid	Read			math	Douglas R. Hofstadter	4.29	777	1979		2015/05/29	5	2015/04/26	9780465026562	24113			pure
The Tibetan Book of Living and Dying	Read			thought	Sogyal Rinpoche	4.21	441	1992		2015/11/29	4	2014/10/11	9780062508348	206731			vajrayana
Thinking, Fast and Slow	Read			biology	Daniel Kahneman	4.17	499	2011		2015/11/29	4	2014/12/01	9780374275631	11468377			cognition
Mastery	Read			thought	Robert Greene	4.26	318	2012		2015/12/21	3	2015/09/16	9780670024964	13589182			ideas
A Short History of Nearly Everything	Read			environment	Bill Bryson	4.22	544	2003		2016/01/16	5	2014/10/12	9780767908184	21			
Einstein: His Life and Universe	Read		modern europe	physics	Walter Isaacson	4.17	675	2007		2016/02/13	4	2014/10/18	9780743264730	10884		greatwars	spacetime
Zero to One: Notes on Startups, or How to Build the Future	Read		modern america	economy	Peter Thiel	4.15	195	2014		2016/03/20	3	2014/12/16	9780804139298	18050143		neocon	entrepreneur
The Innovators: How a Group of Hackers, Geniuses and Geeks Created the Digital Revolution	Read		modern america	info	Walter Isaacson	4.12	542	2011		2016/04/25	4	2014/12/25	9781476708690	21856367		neocon	computers
Man's Search for Meaning	Read	mittel	modern europe	thought	Viktor E. Frankl	4.37	165	1946		2016/05/21	5	2015/04/25	9780807014295	4069	vienna	greatwars	meaning
The Gene: An Intimate History	Read			biology	Siddhartha Mukherjee	4.35	592	2016		2016/09/05	5	2016/05/21		27276428			genetics
The Structure of Scientific Revolutions	Read			thought	Thomas S. Kuhn	4.03	226	1962		2016/11/14	5	2015/04/25	9780226458083	61539			epistemology
The Intelligent Investor	Read			economy	Benjamin Graham	4.23	623	1949		2016/11/23		2015/01/05	9780060555665	106835			investing
Shoe Dog: A Memoir by the Creator of Nike	Read		modern america	economy	Phil Knight	4.46	400	2016		2016/12/17	4	2016/12/12	9781501135910	27220736		boomer	entrepreneur
Millennium: From Religion to Revolution: How Civilization Has Changed Over a Thousand Years	Read			thought	Ian Mortimer	3.99	403	2016		2016/12/23	4	2016/11/26	9781681772431	28943770			history
John Adams	Read	north	early america	politics	David McCullough	4.08	751	2001		2016/12/24	5	2014/10/11	9780743223133	2203	massachusetts	patriot	presidents
Annals of the Former World	Read			environment	John McPhee	4.37	720	1998		2017/01/29	4	2014/10/11	9780374518738	78			geology
The Making of the Atomic Bomb	Read		modern america	military	Richard Rhodes	4.4	886	1986		2017/02/22	5	2016/11/23	9780684813783	16884		newdeal	nukes
Homo Deus: A History of Tomorrow	Read			thought	Yuval Noah Harari	4.18	450	2015		2017/03/24	3	2017/03/01		31138556			history
Capital in the Twenty First Century	Read			economy	Thomas Piketty	4.06	685	2013		2017/04/09	4	2014/12/08	9780674430006	18736925			capital
The Emperor of All Maladies: A Biography of Cancer	Read			healthcare	Siddhartha Mukherjee	4.34	472	2010		2017/05/05	4	2014/10/11		7170627			medicine
Alexander Hamilton	Read		early america	politics	Ron Chernow	4.22	818	2004		2017/05/11	4	2017/01/17		16130		patriot	rulers
Titan: The Life of John D. Rockefeller, Sr.	Read	north	modern america	economy	Ron Chernow	4.15	832	1998		2017/05/23	4	2016/12/12	9781400077304	16121	north	gilded	companies
Cosmos	Read			physics	Carl Sagan	4.4	384	1980		2017/05/24	5	2016/08/08	9780375508325	55030			cosmology
